Entry Time,Exit Time,Signal,Entry Price,Exit Price,Initial Lot,Remaining Lot,Stop Loss,Take Profit,Break-even,Trailing,Partial Count,Partial Profit,Total Profit,Result,Balance
2026-07-10 13:52:00,2026-07-10 14:11:00,BUY,64448.0,64392.87,1.81,0.0,64392.87,64558.26,False,False,0,0.0,-99.78,LOSS,9900.22
2026-07-10 14:17:00,2026-07-10 14:21:00,BUY,64451.2,64408.28,2.31,0.0,64408.28,64537.03,False,False,0,0.0,-99.14,LOSS,9801.08
2026-07-10 16:54:00,2026-07-10 16:58:00,BUY,64619.6,64478.59,0.7,0.0,64478.59,64901.61,False,False,0,0.0,-98.7,LOSS,9702.38
2026-07-10 16:58:00,2026-07-10 17:08:00,BUY,64444.5,64307.75,0.71,0.0,64307.75,64717.99,False,False,0,0.0,-97.09,LOSS,9605.29
2026-07-10 17:20:00,2026-07-10 17:24:00,SELL,64121.5,64091.52,0.7,0.0,64091.52,63848.55,True,True,2,35.82,46.32,WIN,9651.61
2026-07-10 17:24:00,2026-07-10 17:34:00,SELL,64093.4,64022.02,0.66,0.0,64022.02,63799.62,True,True,2,36.36,59.91,WIN,9711.52
2026-07-10 17:34:00,2026-07-10 19:41:00,SELL,64037.7,63883.43,0.48,0.0,63883.43,63629.26,True,True,2,36.76,73.78,WIN,9785.3
2026-07-10 20:08:00,2026-07-10 20:20:00,SELL,64065.1,63914.77,1.3,0.0,63939.85,63914.77,True,True,3,134.35,134.35,WIN,9919.66
2026-07-10 20:09:00,2026-07-10 20:20:00,SELL,64060.1,63916.1,1.39,0.0,63939.85,63916.1,True,True,3,137.61,137.61,WIN,10137.61
2026-07-10 20:20:00,2026-07-10 20:25:00,SELL,63894.5,63962.69,1.45,0.0,63962.69,63758.11,False,False,0,0.0,-98.88,LOSS,9820.78
2026-07-10 20:20:00,2026-07-10 20:25:00,SELL,63894.5,63962.69,1.49,0.0,63962.69,63758.11,False,False,0,0.0,-101.61,LOSS,10036.0
2026-07-11 00:26:00,2026-07-11 00:39:00,BUY,63988.4,64062.56,2.71,0.0,64033.44,64062.56,True,True,3,138.16,138.16,WIN,10174.16
2026-07-11 00:25:00,2026-07-11 00:41:00,BUY,63997.0,64033.52,2.66,0.0,64033.52,64070.84,True,True,2,36.83,85.4,WIN,9906.17
2026-07-11 00:39:00,2026-07-11 00:43:00,BUY,64060.0,64016.05,2.32,0.0,64016.05,64147.89,False,False,0,0.0,-101.96,LOSS,10072.2
2026-07-11 00:41:00,2026-07-11 00:51:00,BUY,64029.9,63986.06,2.26,0.0,63986.06,64117.58,False,False,0,0.0,-99.08,LOSS,9807.09
2026-07-11 00:43:00,2026-07-11 01:05:00,BUY,64025.3,63982.16,2.33,0.0,63982.16,64111.59,False,False,0,0.0,-100.52,LOSS,9971.68
